Year,Brand,Q1,Q2,Q3,Q4
2022,Samsung,0.2,0.18,0.19,0.2
2022,vivo,0.15,0.17,0.14,0.18
2022,Xiaomi,0.23,0.19,0.21,0.18
2022,OPPO,0.09,0.11,0.1,0.11
2022,realme,0.16,0.16,0.14,0.08
2022,Others,0.17,0.19,0.22,0.25
2021,Samsung,0.26,0.28,0.17,0.16
2021,vivo,0.2,0.18,0.23,0.13
2021,Xiaomi,0.16,0.15,0.15,0.21
2021,OPPO,0.11,0.15,0.1,0.09
2021,realme,0.11,0.1,0.15,0.17
2021,Others,0.16,0.14,0.2,0.24
2020,Samsung,0.31,0.29,0.23,0.26
2020,vivo,0.16,0.26,0.15,0.2
2020,Xiaomi,0.17,0.17,0.24,0.11
2020,OPPO,0.14,0.11,0.16,0.15
2020,realme,0.12,0.09,0.1,0.1
2020,Others,0.1,0.08,0.12,0.18
2019,Samsung,0.29,0.25,0.26,0.27
2019,vivo,0.23,0.28,0.2,0.18
2019,Xiaomi,0.12,0.11,0.17,0.21
2019,OPPO,0.07,0.09,0.16,0.08
2019,realme,0.07,0.08,0.08,0.12
2019,Others,0.22,0.19,0.13,0.14
2018,Samsung,0.31,0.28,0.27,0.27
2018,vivo,0.26,0.28,0.23,0.1
2018,Xiaomi,0.06,0.12,0.1,0.2
2018,OPPO,–,0.01,0.03,0.07
2018,realme,0.06,0.09,0.08,0.08
2018,Others,0.31,0.22,0.29,0.28
2017,Samsung,0.13,0.23,0.22,0.25
2017,vivo,0.27,0.16,0.23,0.23
2017,Xiaomi,0.12,0.13,0.09,0.06
2017,OPPO,0.1,0.1,0.06,0.06
2017,realme,0.01,0.01,0.08,0.05
2017,Others,0.37,0.37,0.32,0.35
